name,key_word_ratio,follower_count,like_follower_ratio
Finance.Vote,0.8111111111111111,7025,0.0012177643445619851
Compound,0.7878787878787878,218838,0.0003231227595826066
OceanDAO,0.7575757575757576,1988,0.009014084507042254
XDAO,0.610062893081761,6174,0.002219149810144971
Collab19,0.6,52,0.056410256410256404
Maker Dao,0.505,197258,0.00022501565773687954
HausDAO,0.4946236559139785,14095,0.0007696222835726514
DXdao,0.4563758389261745,7675,0.001745545123586894
BitDAO,0.4429530201342282,34385,0.002075429296601319
Forefront,0.4012345679012346,22051,0.0007583817932554952
necDAO,0.4,560,0.01982142857142857
Gnosis,0.4,118673,0.00044141982914913577
AirSwap,0.4,50435,0.0008531043083072011
Idle,0.39195979899497485,12679,0.0009282459791174991
Aragon One,0.39,3505,0.003928453857127181
Markeing DAO,0.38461538461538464,1920,0.053385416666666664
REtoken DAO,0.38323353293413176,301,0.007682724252491694
RariCapital,0.37894736842105264,48467,0.00044188141759685286
Inverse Finance,0.37012987012987014,20147,0.0038105886645436737
TrojanDAO,0.3630573248407643,1706,0.002827996133358014
ShapeShift,0.3558282208588957,112904,0.00048042035100921866
Moloch DAO,0.35294117647058826,9938,0.0020560810357550144
Token Engineering Commons,0.35172413793103446,3290,0.004404314917456344
EmptySetDollar,0.3235294117647059,3698,0.0031343723880230103
DynamicSetDollar,0.3013698630136986,3178,0.006836775559242519
Jenny Metaverse DAO,0.27586206896551724,24311,0.0033819567274073464
Yam Finance,0.2714285714285714,25296,0.0006137854122973468
Badger,0.26373626373626374,43883,0.0005236462107573928
Aave,0.25833333333333336,428464,0.0006372350023911371
Bankless DAO,0.25165562913907286,41675,0.0006990180911186184
TeaSwap,0.25,2115,0.0036180491314626376
PieDAO,0.24786324786324787,15834,0.0005400861524523831
array.finance CCO,0.24489795918367346,766,0.02491296779808529
Armor,0.24404761904761904,7958,0.000796866475827362
Powerpool,0.23255813953488372,30229,0.0017276456382943532
Fei Money,0.21739130434782608,36486,0.0012443128871347914
Balancer,0.21739130434782608,121912,0.00027123389548745547
mStable,0.21153846153846154,26089,0.00046693312054192117
Rocket LP DAO,0.20903954802259886,2283,0.0012075150051496964
MetaCartel Ventures,0.20714285714285716,19676,0.002248494577675586
Meta Gamma Delta,0.20535714285714285,2507,0.0040408595064254866
MetaCartel DAO,0.1984126984126984,15337,0.0017969615961400535
StakeWise,0.19708029197080293,4493,0.0023163604289800593
Bancor,0.1941747572815534,145462,0.00036813738295912333
PrimeDAO,0.18705035971223022,6899,0.001806281846867439
1HiveLLC,0.18461538461538463,6665,0.0029882470617654416
NFTX,0.18461538461538463,39099,0.0003932325634926724
B.Protocol,0.18404907975460122,6589,0.0024384074467546923
CityDAO,0.18243243243243243,27976,0.005531196051642148
Indexed,0.18238993710691823,18611,0.0017564695702763846
Radicle,0.17894736842105263,27713,0.003867371651868628
Tracer,0.17532467532467533,8644,0.003042144411880645
snglsDAO,0.1744186046511628,9318,0.0013844172569220862
