organization_name,type,governance_address,url,description
Buyback CC1,governance,0x2004cb1e8fb6d4476acdc9e1d37f717d3a83384d,https://etherscan.io/address/0x2004cb1e8fb6d4476acdc9e1d37f717d3a83384d,Moloch / Daohaus Governance
bZx,governance,bzx.eth,https://snapshot.org/#/bzx.eth,Snapshot Governance
cadcad,governance,cadcad.aragonid.eth,https://client.aragon.org/#/cadcad.aragonid.eth,Aragon Governance
Carbonswap,governance,carbonswap.eth,https://snapshot.org/#/carbonswap.eth,Snapshot Governance
CENNZnet Grants DAO,governance,0xee7fa430a7e513d3df962ed0c0e285bc6f87fc24,https://etherscan.io/address/0xee7fa430a7e513d3df962ed0c0e285bc6f87fc24,Daostack Governance
centrifugelabic01,governance,centrifugelabic01.aragonid.eth,https://client.aragon.org/#/centrifugelabic01.aragonid.eth,Aragon Governance
CityDAO,governance,daocity.eth,https://snapshot.org/#/daocity.eth,Snapshot Governance
clr.fund,governance,,https://snapshot.org/#/,Snapshot Governance
clr.fund,governance,0xa357c5dc01d8ab4f3af519b0537468391e3e0976,https://etherscan.io/address/0xa357c5dc01d8ab4f3af519b0537468391e3e0976,Colony Governance
Collab19,governance,collab.aragonid.eth,https://client.aragon.org/#/collab.aragonid.eth,Aragon Governance
Compound,governance,comp-vote.eth,https://snapshot.org/#/comp-vote.eth,Snapshot Governance
Compound,governance,grantcomp.eth,https://snapshot.org/#/grantcomp.eth,Snapshot Governance
Compound,governance,compgov.eth,https://snapshot.org/#/compgov.eth,Snapshot Governance
Compound,governance,0xc0da02939e1441f497fd74f78ce7decb17b66529,https://etherscan.io/address/0xc0da02939e1441f497fd74f78ce7decb17b66529,Compound Governance
Compound,governance,cuni,https://snapshot.org/#/cuni,Snapshot Governance
Compound,governance,0xc0da01a04c3f3e0be433606045bb7017a7323e38,https://etherscan.io/address/0xc0da01a04c3f3e0be433606045bb7017a7323e38,Compound Governance
Conjure,governance,0x6cae87e30445665ca5125d574aa02db4aa9edb96,https://etherscan.io/address/0x6cae87e30445665ca5125d574aa02db4aa9edb96,Compound Governance
Constitution,governance,2a988310-48d5-4809-bc65-622d43fc5f58,,Assetsonly Governance
Creative Collabo DAO,governance,0x161e99f7467f20602c7ff9ff85f22be1ecc41b86,https://etherscan.io/address/0x161e99f7467f20602c7ff9ff85f22be1ecc41b86,Moloch / Daohaus Governance
CrisisDAO,governance,crisisdao.eth,https://snapshot.org/#/crisisdao.eth,Snapshot Governance
Cryptex,governance,0x874c5d592afc6803c3dd60d6442357879f196d5b,https://etherscan.io/address/0x874c5d592afc6803c3dd60d6442357879f196d5b,Compound Governance
Cryptex,governance,cryptexdao.eth,https://snapshot.org/#/cryptexdao.eth,Snapshot Governance
Cryptex,governance,0x271901c3268d0959bbc9543de4f073d3708c88f7,https://etherscan.io/address/0x271901c3268d0959bbc9543de4f073d3708c88f7,Compound Governance
Cura Dao,governance,0x0b93ba560283350d4216f29dc57e15df38d0eace,https://etherscan.io/address/0x0b93ba560283350d4216f29dc57e15df38d0eace,Daostack Governance
Curio,governance,curio.aragonid.eth,https://client.aragon.org/#/curio.aragonid.eth,Aragon Governance
Cyber Congress,governance,0xc45417092c7ba66052c92a4ad871fc60bdbc7009,https://client.aragon.org/#/0xc45417092c7ba66052c92a4ad871fc60bdbc7009,Aragon Governance
Dandy,governance,dandy.aragonid.eth,https://client.aragon.org/#/dandy.aragonid.eth,Aragon Governance
DAOhaus Second Story CCO,governance,0x44f2f58eb410c3099d59db44e8ab9859e886c176,https://etherscan.io/address/0x44f2f58eb410c3099d59db44e8ab9859e886c176,Moloch / Daohaus Governance
DAOSquare,governance,daosquare,https://snapshot.org/#/daosquare,Snapshot Governance
DAOSquare,governance,0x1ba850cb53280d7f9987be283ff462038ec8abe2,https://etherscan.io/address/0x1ba850cb53280d7f9987be283ff462038ec8abe2,Moloch / Daohaus Governance
Daoversify,governance,daoversify.aragonid.eth,https://client.aragon.org/#/daoversify.aragonid.eth,Aragon Governance
Decentraland,governance,snapshot.dcl.eth,https://snapshot.org/#/snapshot.dcl.eth,Snapshot Governance
Decentraland,governance,0xf47917b108ca4b820ccea2587546fbb9f7564b56,https://client.aragon.org/#/0xf47917b108ca4b820ccea2587546fbb9f7564b56,Aragon Governance
Decentral Games,governance,decentralgames.eth,https://snapshot.org/#/decentralgames.eth,Snapshot Governance
Defi Omega,governance,0xe9d7e590171cb5080ab8dfd45850692a714260f0,https://etherscan.io/address/0xe9d7e590171cb5080ab8dfd45850692a714260f0,Moloch / Daohaus Governance
DeoraTest,governance,0x48c2f0a379f8cc93b1be3775964e242adebfd8dc,https://etherscan.io/address/0x48c2f0a379f8cc93b1be3775964e242adebfd8dc,Moloch / Daohaus Governance
dHedge,governance,gov.dhedge.eth,https://snapshot.org/#/gov.dhedge.eth,Snapshot Governance
dHedge,governance,0xb76e40277b79b78dfa954cbec863d0e4fd0656ca,,Assetsonly Governance
dHedge,governance,dhedge.aragonid.eth,https://client.aragon.org/#/dhedge.aragonid.eth,Aragon Governance
DimensionLab,governance,dimensionlab.aragonid.eth,https://client.aragon.org/#/dimensionlab.aragonid.eth,Aragon Governance
dOrg,governance,dorg.eth,https://snapshot.org/#/dorg.eth,Snapshot Governance
dOrg,governance,0x94a587478c83491b13291265581cb983e7feb540,https://etherscan.io/address/0x94a587478c83491b13291265581cb983e7feb540,Daostack Governance
dOrg,governance,0x15344ecdc2c4edfcb092e284d93c20f0529fd8a6,https://etherscan.io/address/0x15344ecdc2c4edfcb092e284d93c20f0529fd8a6,Daostack Governance
Dtravel,governance,dtraveldao.eth,https://snapshot.org/#/dtraveldao.eth,Snapshot Governance
DXdao,governance,0xe81a69caca4a99360589cfd18d9eeaa5029b5ef8,https://etherscan.io/address/0xe81a69caca4a99360589cfd18d9eeaa5029b5ef8,Daostack Governance
DXdao,governance,0x519b70055af55a007110b4ff99b0ea33071c720a,https://etherscan.io/address/0x519b70055af55a007110b4ff99b0ea33071c720a,Daostack Governance
Elimuai,governance,elimuai.aragonid.eth,https://client.aragon.org/#/elimuai.aragonid.eth,Aragon Governance
ENS,governance,,https://snapshot.org/#/,Snapshot Governance
ENS,governance,,https://snapshot.org/#/,Snapshot Governance
ENS,governance,ens.eth,https://snapshot.org/#/ens.eth,Snapshot Governance
Enzyme Finance,governance,0xfe1f2de598f42ce67bb9aad5ad473f0272d09b74,https://client.aragon.org/#/0xfe1f2de598f42ce67bb9aad5ad473f0272d09b74,Aragon Governance
Enzyme Finance,governance,enzymefinance.eth,https://snapshot.org/#/enzymefinance.eth,Snapshot Governance
Estonia,governance,estonia.aragonid.eth,https://client.aragon.org/#/estonia.aragonid.eth,Aragon Governance
EulerBeats OG DAO,governance,ebog.eth,https://snapshot.org/#/ebog.eth,Snapshot Governance
EulerBeats OG DAO,governance,ebog-rinkeby,https://snapshot.org/#/ebog-rinkeby,Snapshot Governance
f25f0531,governance,f25f0531.aragonid.eth,https://client.aragon.org/#/f25f0531.aragonid.eth,Aragon Governance
Farmgod DAO,governance,farmgod.eth,https://snapshot.org/#/farmgod.eth,Snapshot Governance
Fei,governance,0xe087f94c3081e1832dc7a22b48c6f2b5faae579b,https://etherscan.io/address/0xe087f94c3081e1832dc7a22b48c6f2b5faae579b,Compound Governance
Fei,governance,fei.eth,https://snapshot.org/#/fei.eth,Snapshot Governance
Fest Dao,governance,0x8990e11b69403ea53ef2b32434bbd7dbf84b5234,https://etherscan.io/address/0x8990e11b69403ea53ef2b32434bbd7dbf84b5234,Daostack Governance
FiatLuxDAO,governance,,,Assetsonly Governance
Fingerprints DAO,governance,fingerprints.eth,https://snapshot.org/#/fingerprints.eth,Snapshot Governance
flamingo,governance,0x43310bd1c8f261ee7b9025662207ed95329aa193,https://etherscan.io/address/0x43310bd1c8f261ee7b9025662207ed95329aa193,Openlaw Governance
ForeFront,governance,ffdao.eth,https://snapshot.org/#/ffdao.eth,Snapshot Governance
Friends With Benefits Pro,governance,friendswithbenefits.eth,https://snapshot.org/#/friendswithbenefits.eth,Snapshot Governance
Futhorcecosystem,governance,futhorcecosystem.aragonid.eth,https://client.aragon.org/#/futhorcecosystem.aragonid.eth,Aragon Governance
GCR DAO,governance,globalcoinresearch.eth,https://snapshot.org/#/globalcoinresearch.eth,Snapshot Governance
Genesis Alpha,governance,0x294f999356ed03347c7a23bcbcf8d33fa41dc830,https://etherscan.io/address/0x294f999356ed03347c7a23bcbcf8d33fa41dc830,Daostack Governance
Gitcoin,governance,,https://snapshot.org/#/,Snapshot Governance
Gitcoin,governance,gitcoindao.eth,https://snapshot.org/#/gitcoindao.eth,Snapshot Governance
Gitcoin,governance,0xdbd27635a534a3d3169ef0498beb56fb9c937489,https://etherscan.io/address/0xdbd27635a534a3d3169ef0498beb56fb9c937489,Compound Governance
Gnosis,governance,gnosis.eth,https://snapshot.org/#/gnosis.eth,Snapshot Governance
Governor DAO,governance,gdao.eth,https://snapshot.org/#/gdao.eth,Snapshot Governance
Governor DAO,governance,gdao.aragonid.eth,https://client.aragon.org/#/gdao.aragonid.eth,Aragon Governance
Hakt DAO,governance,,https://snapshot.org/#/,Snapshot Governance
HausDAO,governance,0xdec090a12f2e280b089daa225892d9efa8ed0ee8,https://etherscan.io/address/0xdec090a12f2e280b089daa225892d9efa8ed0ee8,Moloch / Daohaus Governance
HelpDao,governance,helpdao.aragonid.eth,https://client.aragon.org/#/helpdao.aragonid.eth,Aragon Governance
Idle Finance,governance,idlefinance.eth,https://snapshot.org/#/idlefinance.eth,Snapshot Governance
Idle Finance,governance,0x2256b25cfc8e35c3135664fd03e77595042fe31b,https://etherscan.io/address/0x2256b25cfc8e35c3135664fd03e77595042fe31b,Compound Governance
Index,governance,index-coop.eth,https://snapshot.org/#/index-coop.eth,Snapshot Governance
Indexed,governance,0x95129751769f99cc39824a0793ef4933dd8bb74b,https://etherscan.io/address/0x95129751769f99cc39824a0793ef4933dd8bb74b,Compound Governance
Instadapp,governance,instadapp-gov.eth,https://snapshot.org/#/instadapp-gov.eth,Snapshot Governance
Instadapp,governance,0x0204cd037b2ec03605cfdfe482d8e257c765fa1b,https://etherscan.io/address/0x0204cd037b2ec03605cfdfe482d8e257c765fa1b,Compound Governance
Inverse,governance,0x35d9f4953748b318f18c30634ba299b237eedfff,https://etherscan.io/address/0x35d9f4953748b318f18c30634ba299b237eedfff,Compound Governance
Jenny Metaverse DAO,governance,jennydao.eth,https://snapshot.org/#/jennydao.eth,Snapshot Governance
JINN,governance,0xcfa7700f9c15f03e0ae81ebd524e4c2af915d13b,https://etherscan.io/address/0xcfa7700f9c15f03e0ae81ebd524e4c2af915d13b,Moloch / Daohaus Governance
JuiceboxDAO,governance,jbdao.eth,https://snapshot.org/#/jbdao.eth,Snapshot Governance
KeeperDAO,governance,rook.eth,https://snapshot.org/#/rook.eth,Snapshot Governance
Keytree,governance,keytree.aragonid.eth,https://client.aragon.org/#/keytree.aragonid.eth,Aragon Governance
KlimaDAO,governance,klimadao.eth,https://snapshot.org/#/klimadao.eth,Snapshot Governance
Kusama,governance,kusama,,Kusama Governance
Kusama,governance,kusama_techcom,,Kusama Governance
Kusama,governance,kusama_democracy,,Kusama Governance
Kusama,governance,kusama_council,,Kusama Governance
lexDAO,governance,0xa365a8429fcefdbe1e684dddda3531b6e8d96e75,https://client.aragon.org/#/0xa365a8429fcefdbe1e684dddda3531b6e8d96e75,Aragon Governance
Lido,governance,lido-dao.aragonid.eth,https://client.aragon.org/#/lido-dao.aragonid.eth,Aragon Governance
Lido,governance,lido-snapshot.eth,https://snapshot.org/#/lido-snapshot.eth,Snapshot Governance
Lobby Token,governance,lobbytoken.eth,https://snapshot.org/#/lobbytoken.eth,Snapshot Governance
Machi X DAO,governance,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,https://etherscan.io/address/0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,Moloch / Daohaus Governance
Maker Dao,governance,maker,,Assetsonly Governance
MansaNetwork,governance,mansanetwork.aragonid.eth,https://client.aragon.org/#/mansanetwork.aragonid.eth,Aragon Governance
MANTRA DAO,governance,mantra-dao.eth,https://snapshot.org/#/mantra-dao.eth,Snapshot Governance
MANTRA DAO,governance,mantra-dao,https://snapshot.org/#/mantra-dao,Snapshot Governance
Markeing DAO,governance,0x6c9b4f1bdddd7704a26a5caf5242e88501dc5f0b,https://etherscan.io/address/0x6c9b4f1bdddd7704a26a5caf5242e88501dc5f0b,Moloch / Daohaus Governance
MarsDao,governance,marsdao.aragonid.eth,https://client.aragon.org/#/marsdao.aragonid.eth,Aragon Governance
MeebitsDAO,governance,meebitsdao.eth,https://snapshot.org/#/meebitsdao.eth,Snapshot Governance
MeebitsDAO,governance,manekari.eth,https://snapshot.org/#/manekari.eth,Snapshot Governance
MetaCartel,governance,metacartel.eth,https://snapshot.org/#/metacartel.eth,Snapshot Governance
MetaCartel,governance,0x0372f3696fa7dc99801f435fd6737e57818239f2,https://etherscan.io/address/0x0372f3696fa7dc99801f435fd6737e57818239f2,Moloch / Daohaus Governance
MetaCartel v2,governance,0xee629a192374caf2a72cf1695c485c5c89611ef2,https://etherscan.io/address/0xee629a192374caf2a72cf1695c485c5c89611ef2,Moloch / Daohaus Governance
MetaCartel Ventures,governance,0x4570b4faf71e23942b8b9f934b47ccedf7540162,https://etherscan.io/address/0x4570b4faf71e23942b8b9f934b47ccedf7540162,Moloch / Daohaus Governance
MetaCartel Ventures,governance,mcv.eth,https://snapshot.org/#/mcv.eth,Snapshot Governance
MetaCartel Ventures China,governance,0x934d6b90e3f916a3ad5d080a674a1e953447dda3,https://etherscan.io/address/0x934d6b90e3f916a3ad5d080a674a1e953447dda3,Moloch / Daohaus Governance
MetaClan,governance,0xb5cef5887a0b46d895cb1893b3cddc9a31607261,https://etherscan.io/address/0xb5cef5887a0b46d895cb1893b3cddc9a31607261,Moloch / Daohaus Governance
Metafam,governance,metafam.aragonid.eth,https://client.aragon.org/#/metafam.aragonid.eth,Aragon Governance
Meta Gamma Delta,governance,0x7d58c962356ae66ba91b108751d67ae5d3b022fc,https://etherscan.io/address/0x7d58c962356ae66ba91b108751d67ae5d3b022fc,Moloch / Daohaus Governance
Meta Gamma Delta,governance,0x1b3d7efb93ec432b0d1d56880c23303979b379e9,https://etherscan.io/address/0x1b3d7efb93ec432b0d1d56880c23303979b379e9,Moloch / Daohaus Governance
Meter Governance MTRG,governance,meter-mainnet.eth,https://snapshot.org/#/meter-mainnet.eth,Snapshot Governance
Moloch,governance,0x1fd169a4f5c59acf79d0fd5d91d1201ef1bce9f1,https://etherscan.io/address/0x1fd169a4f5c59acf79d0fd5d91d1201ef1bce9f1,Moloch / Daohaus Governance
mStable,governance,mstabledao.eth_old,https://snapshot.org/#/mstabledao.eth_old,Snapshot Governance
mStable,governance,mstablegovernance.eth,https://snapshot.org/#/mstablegovernance.eth,Snapshot Governance
mStable,governance,mstableprotocoldao.eth,https://snapshot.org/#/mstableprotocoldao.eth,Snapshot Governance
mStable,governance,mstabledao.eth,https://snapshot.org/#/mstabledao.eth,Snapshot Governance
mStable,governance,mstable.aragonid.eth,https://client.aragon.org/#/mstable.aragonid.eth,Aragon Governance
murziki,governance,murziki.aragonid.eth,https://client.aragon.org/#/murziki.aragonid.eth,Aragon Governance
MyDaoDashboard,governance,mydaodashboard.aragonid.eth,https://client.aragon.org/#/mydaodashboard.aragonid.eth,Aragon Governance
necDAO,governance,0xe56b4d8d42b1c9ea7dda8a6950e3699755943de7,https://etherscan.io/address/0xe56b4d8d42b1c9ea7dda8a6950e3699755943de7,Daostack Governance
Neptune DAO,governance,0xa3cf824160e5ec3dccccb44c2552eee45a44aaeb,https://etherscan.io/address/0xa3cf824160e5ec3dccccb44c2552eee45a44aaeb,Openlaw Governance
NFTX,governance,nftx.aragonid.eth,https://client.aragon.org/#/nftx.aragonid.eth,Aragon Governance
NFTX,governance,nftx.eth,https://snapshot.org/#/nftx.eth,Snapshot Governance
Nouns DAO,governance,nouns.eth,https://snapshot.org/#/nouns.eth,Snapshot Governance
Nouns DAO,governance,0x6f3e6272a167e8accb32072d08e0957f9c79223d,https://etherscan.io/address/0x6f3e6272a167e8accb32072d08e0957f9c79223d,Compound Governance
OceanDAO,governance,officialoceandao.eth,https://snapshot.org/#/officialoceandao.eth,Snapshot Governance
Odyssy,governance,0xdcaaf0efd2e70e8103566e705c86b038ed8ff88e,https://etherscan.io/address/0xdcaaf0efd2e70e8103566e705c86b038ed8ff88e,Moloch / Daohaus Governance
OlympusDAO,governance,olympusdao.eth,https://snapshot.org/#/olympusdao.eth,Snapshot Governance
Orochi DAO V2,governance,0xb42616e266cb0c6d34c1434f09b95ed50bb551ed,https://etherscan.io/address/0xb42616e266cb0c6d34c1434f09b95ed50bb551ed,Moloch / Daohaus Governance
Own.fund DAO,governance,ownfund.eth,https://snapshot.org/#/ownfund.eth,Snapshot Governance
PancakeSwap,governance,pancake,https://snapshot.org/#/pancake,Snapshot Governance
PancakeSwap,governance,cake.eth,https://snapshot.org/#/cake.eth,Snapshot Governance
Pangolin,governance,pangolindex.eth,https://snapshot.org/#/pangolindex.eth,Snapshot Governance
PartyDAO,governance,partydao.eth,https://snapshot.org/#/partydao.eth,Snapshot Governance
Perpetual Protocol,governance,vote-perp.eth,https://snapshot.org/#/vote-perp.eth,Snapshot Governance
PieDAO,governance,0x0c188b183ff758500d1d18b432313d10e9f6b8a4,https://client.aragon.org/#/0x0c188b183ff758500d1d18b432313d10e9f6b8a4,Aragon Governance
PieDAO,governance,piedao,https://snapshot.org/#/piedao,Snapshot Governance
PieDAO,governance,,https://snapshot.org/#/,Snapshot Governance
PleasrDAO,governance,pleasrdao.eth,https://snapshot.org/#/pleasrdao.eth,Snapshot Governance
pNetwork,governance,pnetwork-dao.eth,https://snapshot.org/#/pnetwork-dao.eth,Snapshot Governance
pNetwork,governance,0x2732fd9fd5f0e84b1b774cf5e6f5c812eafd455b,https://client.aragon.org/#/0x2732fd9fd5f0e84b1b774cf5e6f5c812eafd455b,Aragon Governance
PoolTogether,governance,0xb3a87172f555ae2a2ab79be60b336d2f7d0187f0,https://etherscan.io/address/0xb3a87172f555ae2a2ab79be60b336d2f7d0187f0,Compound Governance
PoolTogether,governance,pooltogether.eth,https://snapshot.org/#/pooltogether.eth,Snapshot Governance
Pragma,governance,pragmadev2.eth,https://snapshot.org/#/pragmadev2.eth,Snapshot Governance
PrimeDAO,governance,0x273d0f686a53a49a0fba2a801566b19f9aaf8fcd,https://etherscan.io/address/0x273d0f686a53a49a0fba2a801566b19f9aaf8fcd,Daostack Governance
PrimeDAO,governance,0xe3a89ed4956c4f7173418e4dec2a77a5f60807de,https://etherscan.io/address/0xe3a89ed4956c4f7173418e4dec2a77a5f60807de,Daostack Governance
PrimeDAO,governance,primexyz.eth,https://snapshot.org/#/primexyz.eth,Snapshot Governance
Proof Of Humanity,governance,poh.eth,https://snapshot.org/#/poh.eth,Snapshot Governance
Radicle,governance,gov.radicle.eth,https://snapshot.org/#/gov.radicle.eth,Snapshot Governance
