organization_name,type,governance_address,url,description
STAKEhaus,governance,0x97ace434171c7eb426548afc4af188a3c973a38d,https://etherscan.io/address/0x97ace434171c7eb426548afc4af188a3c973a38d,Moloch / Daohaus Governance
StakeWise,governance,stakewise.eth,https://snapshot.org/#/stakewise.eth,Snapshot Governance
Status,governance,status.aragonid.eth,https://client.aragon.org/#/status.aragonid.eth,Aragon Governance
Sushiswap,governance,sushigov.eth,https://snapshot.org/#/sushigov.eth,Snapshot Governance
Synthetix,governance,snxgrants.eth,https://snapshot.org/#/snxgrants.eth,Snapshot Governance
Synthetix,governance,snxambassador.eth,https://snapshot.org/#/snxambassador.eth,Snapshot Governance
Synthetix,governance,treasurycouncil.eth,https://snapshot.org/#/treasurycouncil.eth,Snapshot Governance
Synthetix,governance,spartancouncil.eth,https://snapshot.org/#/spartancouncil.eth,Snapshot Governance
TeaSwap,governance,tea-swap.eth,https://snapshot.org/#/tea-swap.eth,Snapshot Governance
The LAO,governance,0x8f56682a50becb1df2fb8136954f2062871bc7fc,https://etherscan.io/address/0x8f56682a50becb1df2fb8136954f2062871bc7fc,Openlaw Governance
The LAO,governance,thelao,https://snapshot.org/#/thelao,Snapshot Governance
Tornado Cash,governance,torn-community.eth,https://snapshot.org/#/torn-community.eth,Snapshot Governance
Tracer,governance,tracer.eth,https://snapshot.org/#/tracer.eth,Snapshot Governance
Trojan DAO,governance,0xcc7dcdb700eed457c8180406d7d699877f4eee24,https://etherscan.io/address/0xcc7dcdb700eed457c8180406d7d699877f4eee24,Moloch / Daohaus Governance
TYAN Intergalactic,governance,0xecfbf206d32c7ca0272028711799a781bfb6710d,https://etherscan.io/address/0xecfbf206d32c7ca0272028711799a781bfb6710d,Moloch / Daohaus Governance
UberHAUS,governance,0x4bec8e49aa44bb520bd5e29d6358e22464b5eb68,https://etherscan.io/address/0x4bec8e49aa44bb520bd5e29d6358e22464b5eb68,Moloch / Daohaus Governance
Unicly,governance,uniclynft.eth,https://snapshot.org/#/uniclynft.eth,Snapshot Governance
Uniswap,governance,0xc4e172459f1e7939d522503b81afaac1014ce6f6,https://etherscan.io/address/0xc4e172459f1e7939d522503b81afaac1014ce6f6,Compound Governance
Uniswap,governance,uniswap,https://snapshot.org/#/uniswap,Snapshot Governance
Uniswap,governance,0x5e4be8bc9637f0eaa1a755019e06a68ce081d58f,https://etherscan.io/address/0x5e4be8bc9637f0eaa1a755019e06a68ce081d58f,Compound Governance
Uniswap,governance,0x408ed6354d4973f66138c91495f2f2fcbd8724c3,https://etherscan.io/address/0x408ed6354d4973f66138c91495f2f2fcbd8724c3,Compound Governance
Uniswap,governance,uni.meme0xb1.eth,https://snapshot.org/#/uni.meme0xb1.eth,Snapshot Governance
Unslashed,governance,0xa0ae994229b1bc31850d8a17a273904d1ed12190,https://etherscan.io/address/0xa0ae994229b1bc31850d8a17a273904d1ed12190,Compound Governance
Urza,governance,0x7ae4bc22d038479c8ad21616450cd5e35d3f03cc,https://etherscan.io/address/0x7ae4bc22d038479c8ad21616450cd5e35d3f03cc,Moloch / Daohaus Governance
Valtech,governance,0x4eef8cff7fd9bfab6cbcdf05b74d2161cadaff52,https://client.aragon.org/#/0x4eef8cff7fd9bfab6cbcdf05b74d2161cadaff52,Aragon Governance
Varen,governance,varen.eth,https://snapshot.org/#/varen.eth,Snapshot Governance
VitaDAO,governance,351bacc0-070d-4577-8ab7-1e1fe7e1b201,,Assetsonly Governance
VitaDAO,governance,vote.vitadao.eth,https://snapshot.org/#/vote.vitadao.eth,Snapshot Governance
Warcamp,governance,0x55eafe832507e652c48b25a957bd3a15420aa805,https://etherscan.io/address/0x55eafe832507e652c48b25a957bd3a15420aa805,Moloch / Daohaus Governance
Warcamp,governance,0xc8e0d7fd13eb3cbc19eb293d0e00b8386cc1b6f2,https://etherscan.io/address/0xc8e0d7fd13eb3cbc19eb293d0e00b8386cc1b6f2,Moloch / Daohaus Governance
Warcamp,governance,0x8d2ec7025957d09cfb0a8197f9aacd0dcc08b21a,https://etherscan.io/address/0x8d2ec7025957d09cfb0a8197f9aacd0dcc08b21a,Moloch / Daohaus Governance
Warcamp,governance,0xef3d8c4fbb1860fceab16595db7e650cd5ad51c1,https://etherscan.io/address/0xef3d8c4fbb1860fceab16595db7e650cd5ad51c1,Moloch / Daohaus Governance
Warcamp,governance,0xd1924dc661a3e0563defe8e8028485211799e2b0,https://etherscan.io/address/0xd1924dc661a3e0563defe8e8028485211799e2b0,Moloch / Daohaus Governance
XDAO,governance,0x9d63d20d1cfbb85cd46602bd096d81211bf44a5a,https://etherscan.io/address/0x9d63d20d1cfbb85cd46602bd096d81211bf44a5a,Moloch / Daohaus Governance
Yam Finance,governance,0x78bdd33e95ecbcac16745fb28db0ffb703344026,https://etherscan.io/address/0x78bdd33e95ecbcac16745fb28db0ffb703344026,Compound Governance
Yam Finance,governance,yam.eth,https://snapshot.org/#/yam.eth,Snapshot Governance
yearn.finance,governance,0xcb46298767fb5d44c18313976c30d3eeb5071862,https://etherscan.io/address/0xcb46298767fb5d44c18313976c30d3eeb5071862,Moloch / Daohaus Governance
yearn.finance,governance,yearn,https://snapshot.org/#/yearn,Snapshot Governance
yearn.finance,governance,ybaby.eth,https://snapshot.org/#/ybaby.eth,Snapshot Governance
