,screen_name,key_word_tweet_count,tweet_count,key_word_ratio,likes,follower_count,like_follower_ratio
0,Finance.Vote,146,180,0.8111111111111111,1249,7025,0.17779359430604982
1,Compound,104,132,0.7878787878787878,7354,218838,0.03360476699659109
2,OceanDAO,25,33,0.7575757575757576,448,1988,0.22535211267605634
3,XDAO,97,159,0.610062893081761,1329,6174,0.2152575315840622
4,Collab19,15,25,0.6,44,52,0.8461538461538461
5,Maker Dao,101,200,0.505,4483,197258,0.022726581431424836
6,HausDAO,92,186,0.4946236559139785,998,14095,0.07080525008868394
7,DXdao,68,149,0.4563758389261745,911,7675,0.1186970684039088
8,BitDAO,66,149,0.4429530201342282,4710,34385,0.13697833357568706
9,Forefront,65,162,0.4012345679012346,1087,22051,0.04929481656160718
10,necDAO,30,75,0.4,333,560,0.5946428571428571
11,Gnosis,26,65,0.4,1362,118673,0.01147691555787753
12,AirSwap,76,190,0.4,3270,50435,0.06483592743134728
13,Idle,78,199,0.39195979899497485,918,12679,0.07240318637116491
14,Aragon One,39,100,0.39,537,3505,0.15320970042796006
15,Markeing DAO,10,26,0.38461538461538464,1025,1920,0.5338541666666666
16,REtoken DAO,64,167,0.38323353293413176,148,301,0.49169435215946844
17,RariCapital,36,95,0.37894736842105264,771,48467,0.0159077310334867
18,Inverse Finance,57,154,0.37012987012987014,4376,20147,0.21720355387898943
19,TrojanDAO,57,157,0.3630573248407643,275,1706,0.1611957796014068
20,ShapeShift,58,163,0.3558282208588957,3146,112904,0.027864380358534686
21,Moloch DAO,30,85,0.35294117647058826,613,9938,0.06168243107265043
22,Token Engineering Commons,51,145,0.35172413793103446,739,3290,0.22462006079027355
23,EmptySetDollar,22,68,0.3235294117647059,255,3698,0.06895619253650621
24,DynamicSetDollar,22,73,0.3013698630136986,478,3178,0.15040906230333542
25,Jenny Metaverse DAO,32,116,0.27586206896551724,2631,24311,0.10822261527703508
26,Yam Finance,38,140,0.2714285714285714,590,25296,0.023323845667299177
27,Badger,48,182,0.26373626373626374,1103,43883,0.02513501811635485
28,Aave,31,120,0.25833333333333336,8464,428464,0.019754285074125248
29,Bankless DAO,38,151,0.25165562913907286,1107,41675,0.0265626874625075
30,TeaSwap,46,184,0.25,352,2115,0.16643026004728131
31,PieDAO,29,117,0.24786324786324787,248,15834,0.015662498421119112
32,array.finance CCO,12,49,0.24489795918367346,229,766,0.2989556135770235
33,Armor,41,168,0.24404761904761904,260,7958,0.03267152550892184
34,Powerpool,40,172,0.23255813953488372,2089,30229,0.06910582553177412
35,Fei Money,20,92,0.21739130434782608,908,36486,0.024886257742695827
36,Balancer,30,138,0.21739130434782608,992,121912,0.008137016864623663
37,mStable,22,104,0.21153846153846154,268,26089,0.010272528651922266
38,Rocket LP DAO,37,177,0.20903954802259886,102,2283,0.04467805519053877
39,MetaCartel Ventures,29,140,0.20714285714285716,1283,19676,0.06520634275259199
40,Meta Gamma Delta,23,112,0.20535714285714285,233,2507,0.09293976864778619
41,MetaCartel DAO,25,126,0.1984126984126984,689,15337,0.044924039903501335
42,StakeWise,27,137,0.19708029197080293,281,4493,0.06254173158246161
43,Bancor,20,103,0.1941747572815534,1071,145462,0.007362747659182467
44,PrimeDAO,26,139,0.18705035971223022,324,6899,0.046963328018553414
45,NFTX,24,130,0.18461538461538463,369,39099,0.009437581523824139
46,1HiveLLC,24,130,0.18461538461538463,478,6665,0.07171792948237059
47,B.Protocol,30,163,0.18404907975460122,482,6589,0.07315222340264077
48,CityDAO,27,148,0.18243243243243243,4178,27976,0.149342293394338
49,Indexed,29,159,0.18238993710691823,948,18611,0.05093761753801515
50,Radicle,17,95,0.17894736842105263,1822,27713,0.06574531808176667
51,Tracer,27,154,0.17532467532467533,710,8644,0.08213789912077742
52,snglsDAO,30,172,0.1744186046511628,387,9318,0.041532517707662586
53,Klima DAO,24,138,0.17391304347826086,4044,69484,0.058200449024235795
54,Digital Reserve Currency,24,139,0.17266187050359713,647,3546,0.18245910885504793
55,Lido,20,122,0.16393442622950818,1441,60664,0.023753791375445074
56,Cryptex,27,167,0.16167664670658682,567,11234,0.050471782090083676
57,Sushiswap,14,88,0.1590909090909091,1402,198269,0.007071201246790976
58,The LAO,19,120,0.15833333333333333,1347,14365,0.09376957883745214
59,RaribleDAO,28,177,0.15819209039548024,344,3127,0.11000959385992964
60,pNetwork,29,184,0.15760869565217392,840,82243,0.010213635202995999
61,Tornado Cash,14,90,0.15555555555555556,933,37230,0.025060435132957293
62,Alchemix,24,155,0.15483870967741936,2641,60599,0.04358157725375006
63,OpenDAO,14,93,0.15053763440860216,11504,159306,0.07221322486284258
64,OOKI,24,162,0.14814814814814814,1978,47820,0.04136344625679632
65,Yearn Finance,19,130,0.14615384615384616,2377,182864,0.012998731297576342
66,Index,20,137,0.145985401459854,398,1160,0.3431034482758621
67,Convex Finance,17,118,0.1440677966101695,1635,38068,0.042949458863087105
68,Unslashed,19,134,0.1417910447761194,88,10273,0.00856614426165677
69,dOrg,18,127,0.14173228346456693,197,2560,0.076953125
70,Kusama,14,101,0.13861386138613863,3920,228741,0.017137286275744183
71,VitaDAO,15,112,0.13392857142857142,123,9638,0.01276198381406931
72,Earthfund,23,172,0.13372093023255813,112,2883,0.03884842178286507
73,Hakt DAO,21,158,0.13291139240506328,144,334,0.4311377245508982
74,DAOSquare,22,168,0.13095238095238096,284,13069,0.021730813375162597
75,Fingerprints DAO,19,146,0.13013698630136986,441,18746,0.02352501867064974
76,Krause House,23,178,0.12921348314606743,606,10998,0.055100927441352976
77,Uniswap,18,140,0.12857142857142856,9091,842828,0.01078630515360192
