protocol,proposer,blockNumber
seen,0xA75d56979E5eb9bC24D6FAEb4B5B2C35589168A5,11204133
shapeshift,0xE56Edf928D813cA9D0530e6Bc893029E07C683C6,13641216
sushi,0xF27AbCeD7bb0A5db2052dBddfB01Ca442F129Aea,12554392
synthetix,0xDe910777C787903F78C89e7a0bf7F4C435cBB1Fe,14025599
thegraphcouncil,0x37BC95e38235Ec42F185E945922a4E2C9795B391,12117735
thelao,0x2D81713c58452c92C19b2917e1C770eEcF53Fe41,11080800
token-engineering-commons,0xaa79B87DC8B046A5E4f7D03F1562D7fe5BF98737,17886545
tokenlon,0x9592344f80D8d4A6c3BA976F8E6d134Db8e21B3C,11891674
tornadocash,0xb3E7C32d7C328AEabc8F34e90a879326b6482750,11784949
truefigov,0x99FBa19112f221D0B44c9c22241f5e6b2Db715F6,12611459
ultradaov2,0xE1B5a27BA809B645149345Af197e044CbBc155e9,23689841
uniswap,0x7e4A8391C728fEd9069B2962699AB416628B19Fa,11042288
vsp,0xB454F20d38c0Bc020E18bDa03898904DCA77A38a,12206750
wgmi,0x1768f9d7aeB96b09F12fc8D1573Bfca84e7d46dC,19967689
yam,0x9Ebc8AD4011C7f559743Eb25705CCF5A9B58D0bc,13312415
ybaby,0x0Cec743b8CE4Ef8802cAc0e5df18a180ed8402A7,10905651
yfbeta,0xbBa1b7890D6FAf87Db273544fd4CeFBe448285dD,10834974
yup,0xD74b126baEAd23A1160494DD8BCa94a1081B150f,11468302
