name,twitter_handle,twitter_url,follower_count,cname,categories,totalProposals,totalVotes,uniqueVoters,icons,tokens,type
bZx,bzxhq,https://twitter.com/bzxhq,1095.0,bzx,['Uncategorized'],10.0,186.0,80.0,"[{'adapter': 'default', 'size': 'small', 'url': 'https://assets.coingecko.com/coins/images/11811/small/bzrx.png?1594563172'}, {'adapter': 'default', 'size': 'thumb', 'url': 'https://assets.coingecko.com/coins/images/11811/thumb/bzrx.png?1594563172'}, {'adapter': 'default', 'size': 'large', 'url': 'https://assets.coingecko.com/coins/images/11811/large/bzrx.png?1594563172'}]","[{'adapter': 'default', 'symbol': 'bzrx', 'network': 'ethereum', 'contractAddress': '0x56d811088235f11c8920698a204a5010a788f4b3', 'marketPrices': [{'currency': 'usd', 'price': 0.273467}]}]",DAO
Compound,compoundfinance,https://twitter.com/compoundfinance,218838.0,compound,['Protocol'],84.0,3429.0,1038.0,"[{'adapter': 'default', 'size': 'small', 'url': 'https://assets.coingecko.com/coins/images/10775/small/COMP.png?1592625425'}, {'adapter': 'default', 'size': 'large', 'url': 'https://assets.coingecko.com/coins/images/10775/large/COMP.png?1592625425'}, {'adapter': 'default', 'size': 'thumb', 'url': 'https://assets.coingecko.com/coins/images/10775/thumb/COMP.png?1592625425'}]","[{'adapter': 'default', 'symbol': 'comp', 'network': 'ethereum', 'contractAddress': '0xc00e94cb662c3520282e6f5717214004a7f26888', 'marketPrices': [{'currency': 'usd', 'price': 129.92}]}]",DAO
Convex Finance,ConvexFinance,https://twitter.com/ConvexFinance,38068.0,convexfinance,['Protocol'],65.0,2832.0,993.0,"[{'adapter': 'default', 'size': 'large', 'url': 'https://assets.coingecko.com/coins/images/15585/large/convex.png?1621256328'}, {'adapter': 'default', 'size': 'thumb', 'url': 'https://assets.coingecko.com/coins/images/15585/thumb/convex.png?1621256328'}, {'adapter': 'default', 'size': 'small', 'url': 'https://assets.coingecko.com/coins/images/15585/small/convex.png?1621256328'}]","[{'adapter': 'default', 'symbol': 'cvx', 'network': 'ethereum', 'contractAddress': '0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b', 'marketPrices': [{'currency': 'usd', 'price': 25.27}]}]",DAO
Credmark,credmarkhq,https://twitter.com/credmarkhq,2731.0,credmark,['Uncategorized'],3.0,27.0,19.0,"[{'adapter': 'default', 'size': 'thumb', 'url': 'https://assets.coingecko.com/coins/images/16305/thumb/Credmark.png?1623720167'}, {'adapter': 'default', 'size': 'small', 'url': 'https://assets.coingecko.com/coins/images/16305/small/Credmark.png?1623720167'}, {'adapter': 'default', 'size': 'large', 'url': 'https://assets.coingecko.com/coins/images/16305/large/Credmark.png?1623720167'}]","[{'adapter': 'default', 'symbol': 'cmk', 'network': 'ethereum', 'contractAddress': '0x68cfb82eacb9f198d508b514d898a403c449533e', 'marketPrices': [{'currency': 'usd', 'price': 0.25478}]}]",DAO
DefiDollar DAO,defidollar,https://twitter.com/defidollar,12878.0,defidollar,['Protocol'],8.0,30.0,27.0,"[{'adapter': 'default', 'size': 'small', 'url': 'https://assets.coingecko.com/coins/images/12959/small/DFD.jpg?1604415975'}, {'adapter': 'default', 'size': 'thumb', 'url': 'https://assets.coingecko.com/coins/images/12959/thumb/DFD.jpg?1604415975'}, {'adapter': 'default', 'size': 'large', 'url': 'https://assets.coingecko.com/coins/images/12959/large/DFD.jpg?1604415975'}]","[{'adapter': 'default', 'symbol': 'dfd', 'network': 'ethereum', 'contractAddress': '0x20c36f062a31865bed8a5b1e512d9a1a20aa333a', 'marketPrices': [{'currency': 'usd', 'price': 0.04126874}]}]",DAO
dHEDGE,dHedgeOrg,https://twitter.com/dHedgeOrg,18164.0,dhedge,['Protocol'],50.0,916.0,216.0,"[{'adapter': 'default', 'size': 'small', 'url': 'https://assets.coingecko.com/coins/images/12508/small/dht.png?1600752201'}, {'adapter': 'default', 'size': 'thumb', 'url': 'https://assets.coingecko.com/coins/images/12508/thumb/dht.png?1600752201'}, {'adapter': 'default', 'size': 'large', 'url': 'https://assets.coingecko.com/coins/images/12508/large/dht.png?1600752201'}]","[{'adapter': 'default', 'symbol': 'dht', 'network': 'ethereum', 'contractAddress': '0xca1207647ff814039530d7d35df0e1dd2e91fa84', 'marketPrices': [{'currency': 'usd', 'price': 0.49523}]}]",DAO
Digital Reserve Currency,drctoken,https://twitter.com/drctoken,3546.0,drc,['Uncategorized'],15.0,343.0,178.0,"[{'adapter': 'default', 'size': 'thumb', 'url': 'https://assets.coingecko.com/coins/images/12802/thumb/DRC-Digital-Reserve-Currency-Coingecko.png?1603355646'}, {'adapter': 'default', 'size': 'small', 'url': 'https://assets.coingecko.com/coins/images/12802/small/DRC-Digital-Reserve-Currency-Coingecko.png?1603355646'}, {'adapter': 'default', 'size': 'large', 'url': 'https://assets.coingecko.com/coins/images/12802/large/DRC-Digital-Reserve-Currency-Coingecko.png?1603355646'}]","[{'adapter': 'default', 'symbol': 'drc', 'network': 'ethereum', 'contractAddress': '0xa150db9b1fa65b44799d4dd949d922c0a33ee606', 'marketPrices': [{'currency': 'usd', 'price': 0.00077928}]}]",DAO
dYdX,dydxprotocol,https://twitter.com/dydxprotocol,113426.0,dydx,['Protocol'],6.0,1295.0,804.0,"[{'adapter': 'default', 'size': 'thumb', 'url': 'https://assets.coingecko.com/coins/images/17500/thumb/hjnIm9bV.jpg?1628009360'}, {'adapter': 'default', 'size': 'small', 'url': 'https://assets.coingecko.com/coins/images/17500/small/hjnIm9bV.jpg?1628009360'}, {'adapter': 'default', 'size': 'large', 'url': 'https://assets.coingecko.com/coins/images/17500/large/hjnIm9bV.jpg?1628009360'}]","[{'adapter': 'default', 'symbol': 'dydx', 'network': 'ethereum', 'contractAddress': '0x92d6c1e31e14520e676a687f0a93788b716beff5', 'marketPrices': [{'currency': 'usd', 'price': 7.18}]}]",DAO
DynamicSetDollar,dsdproject,https://twitter.com/dsdproject,3178.0,dsd,['Protocol'],3.0,36.0,30.0,"[{'adapter': 'default', 'size': 'large', 'url': 'https://assets.coingecko.com/coins/images/13249/large/DSD.jpg?1606713628'}, {'adapter': 'default', 'size': 'thumb', 'url': 'https://assets.coingecko.com/coins/images/13249/thumb/DSD.jpg?1606713628'}, {'adapter': 'default', 'size': 'small', 'url': 'https://assets.coingecko.com/coins/images/13249/small/DSD.jpg?1606713628'}]","[{'adapter': 'default', 'symbol': 'dsd', 'network': 'ethereum', 'contractAddress': '0xbd2f0cd039e0bfcf88901c98c0bfac5ab27566e3', 'marketPrices': [{'currency': 'usd', 'price': 0.00655875}]}]",DAO
Earthfund,EarthFund_io,https://twitter.com/EarthFund_io,2883.0,earthfund,['Uncategorized'],1.0,10.0,10.0,"[{'adapter': 'default', 'size': 'thumb', 'url': 'https://assets.coingecko.com/coins/images/20822/thumb/earthfund.PNG?1637722232'}, {'adapter': 'default', 'size': 'small', 'url': 'https://assets.coingecko.com/coins/images/20822/small/earthfund.PNG?1637722232'}, {'adapter': 'default', 'size': 'large', 'url': 'https://assets.coingecko.com/coins/images/20822/large/earthfund.PNG?1637722232'}]","[{'adapter': 'default', 'symbol': '1earth', 'network': 'ethereum', 'contractAddress': '0x9e04f519b094f5f8210441e285f603f4d2b50084', 'marketPrices': [{'currency': 'usd', 'price': 0.061103}]}]",DAO
